A Ashish Reddy,23,280,142.857,196,12.1739,13
A Chandila,2,4,57.1429,7,2,0
A Chopra,6,53,70.6667,75,8.83333,4
A Flintoff,3,62,108.772,57,20.6667,2
A Kumble,15,35,71.4286,49,2.33333,2
A Mishra,43,291,89.2638,326,6.76744,18
A Mithun,6,34,130.769,26,5.66667,5
A Mukund,2,19,82.6087,23,9.5,2
A Nehra,17,41,65.0794,63,2.41176,6
A Singh,5,2,20,10,0.4,4
A Symonds,36,974,124.712,781,27.0556,23
A Uniyal,2,4,57.1429,7,2,1
A Zampa,1,0,0,1,0,1
AA Bilakhia,7,69,78.4091,88,9.85714,5
AA Chavan,3,12,109.091,11,4,1
AA Jhunjhunwala,15,217,99.5413,218,14.4667,10
AA Noffke,1,9,75,12,9,0
AB Agarkar,18,179,111.875,160,9.94444,7
AB Barath,3,42,97.6744,43,14,2
AB de Villiers,110,3262,146.081,2233,29.6545,76
AB Dinda,15,19,45.2381,42,1.26667,7
AB McDonald,9,123,119.417,103,13.6667,5
Abdur Razzak,1,0,0,2,0,0
AC Blizzard,7,120,131.868,91,17.1429,7
AC Gilchrist,80,2069,133.055,1555,25.8625,74
AC Thomas,4,20,105.263,19,5,1
AC Voges,7,181,126.573,143,25.8571,4
AD Mascarenhas,11,79,100,79,7.18182,7
AD Mathews,39,692,121.191,571,17.7436,25
AD Nath,3,20,74.0741,27,6.66667,3
AD Russell,25,574,164,350,22.96,19
AG Murtaza,3,10,71.4286,14,3.33333,1
AG Paunikar,5,49,80.3279,61,9.8,5
AJ Finch,51,1304,120.741,1080,25.5686,44
AL Menaria,23,401,109.264,367,17.4348,20
AM Nayar,50,672,114.286,588,13.44,30
AM Rahane,89,2675,117.634,2274,30.0562,69
AN Ahmed,6,36,133.333,27,6,1
AN Ghosh,2,7,87.5,8,3.5,2
Anirudh Singh,4,63,91.3043,69,15.75,4
Ankit Sharma,9,62,116.981,53,6.88889,6
Anureet Singh,6,18,58.0645,31,3,3
AP Dole,2,34,147.826,23,17,2
AP Majumdar,4,87,112.987,77,21.75,4
AP Tare,24,321,123.462,260,13.375,20
AR Patel,29,379,117.337,323,13.069,18
AS Rajpoot,1,2,33.3333,6,2,0
AS Raut,16,194,112.791,172,12.125,7
AS Yadav,6,49,122.5,40,8.16667,5
AT Rayudu,100,2325,123.408,1884,23.25,76
AUK Pathan,7,39,150,26,5.57143,5
Azhar Mahmood,21,388,124.759,311,18.4762,16
B Akhil,11,76,133.333,57,6.90909,5
B Chipli,21,280,109.375,256,13.3333,15
B Kumar,32,155,98.7261,157,4.84375,16
B Laughlin,2,4,44.4444,9,2,1
B Lee,19,124,121.569,102,6.52632,7
B Sumanth,4,35,92.1053,38,8.75,1
BA Bhatt,2,6,85.7143,7,3,0
BAW Mendis,3,3,50,6,1,2
BB McCullum,92,2434,124.629,1953,26.4565,83
BB Samantray,8,125,107.759,116,15.625,4
BB Sran,3,4,100,4,1.33333,0
BCJ Cutting,6,112,183.607,61,18.6667,2
BE Hendricks,2,1,33.3333,3,0.5,1
Bipul Sharma,15,161,157.843,102,10.7333,5
BJ Haddin,1,18,163.636,11,18,1
BJ Hodge,63,1400,121.422,1153,22.2222,40
BJ Rohrer,8,193,133.103,145,24.125,6
BMAJ Mendis,3,23,85.1852,27,7.66667,2
BR Dunk,3,40,111.111,36,13.3333,3
C Madan,1,15,71.4286,21,15,1
C Munro,3,30,96.7742,31,10,1
C Nanda,1,0,0,1,0,0
CA Ingram,3,21,80.7692,26,7,2
CA Lynn,5,89,104.706,85,17.8,4
CA Pujara,22,390,96.7742,403,17.7273,17
CH Gayle,92,3502,146.589,2389,38.0652,79
CH Morris,20,285,160.112,178,14.25,5
CJ Anderson,15,379,133.451,284,25.2667,11
CJ Ferguson,8,98,82.3529,119,12.25,5
CJ Jordan,2,6,75,8,3,0
CJ McKay,1,8,53.3333,15,8,1
CK Kapugedera,3,16,66.6667,24,5.33333,3
CK Langeveldt,2,8,88.8889,9,4,2
CL White,45,954,124.057,769,21.2,31
CM Gautam,13,169,106.962,158,13,9
CR Brathwaite,6,83,207.5,40,13.8333,6
CRD Fernando,2,4,133.333,3,2,0
D du Preez,1,10,76.9231,13,10,1
D Kalyankrishna,1,3,37.5,8,3,1
D Salunkhe,3,33,137.5,24,11,1
D Wiese,8,127,135.106,94,15.875,4
DA Miller,60,1480,140.684,1052,24.6667,39
DA Warner,101,3442,138.902,2478,34.0792,83
DAJ Bracewell,1,12,133.333,9,12,0
DB Das,22,304,113.858,267,13.8182,12
DB Ravi Teja,25,375,115.385,325,15,18
DE Bollinger,4,21,91.3043,23,5.25,1
DH Yagnik,17,170,119.718,142,10,9
DJ Bravo,81,1262,122.287,1032,15.5802,53
DJ Harris,4,111,107.767,103,27.75,3
DJ Hooda,25,298,129.565,230,11.92,19
DJ Hussey,61,1322,120.073,1101,21.6721,43
DJ Jacobs,7,92,91.0891,101,13.1429,7
DJ Muthuswami,1,1,33.3333,3,1,0
DJ Thornely,4,39,72.2222,54,9.75,3
DJG Sammy,20,295,117.53,251,14.75,14
DL Vettori,16,121,102.542,118,7.5625,6
DNT Zoysa,2,11,122.222,9,5.5,1
DP Nannes,2,4,30.7692,13,2,1
DP Vijaykumar,1,1,100,1,1,0
DPMD Jayawardene,78,1802,118.553,1520,23.1026,55
DR Martyn,1,19,73.0769,26,19,1
DR Smith,77,2146,130.456,1645,27.8701,70
DS Kulkarni,15,89,89.899,99,5.93333,5
DS Lehmann,2,18,94.7368,19,9,2
DT Christian,22,341,114.047,299,15.5,17
DT Patil,2,13,100,13,6.5,1
DW Steyn,32,166,103.106,161,5.1875,19
EJG Morgan,41,789,119.005,663,19.2439,30
ER Dwivedi,2,24,160,15,12,2
F Behardien,3,14,107.692,13,4.66667,2
F du Plessis,45,1287,124.228,1036,28.6,35
FH Edwards,2,4,80,5,2,1
FY Fazal,11,183,102.235,179,16.6364,6
G Gambhir,130,3634,120.013,3028,27.9538,104
GB Hogg,4,22,100,22,5.5,2
GC Smith,29,739,106.946,691,25.4828,26
GD McGrath,2,4,80,5,2,1
GH Vihari,21,280,86.6873,323,13.3333,17
GJ Bailey,36,663,120.109,552,18.4167,23
GJ Maxwell,42,918,154.806,593,21.8571,39
GR Napier,1,15,93.75,16,15,1
Gurkeerat Singh,24,342,122.143,280,14.25,19
H Das,1,2,40,5,2,0
Harbhajan Singh,75,783,136.411,574,10.44,44
Harmeet Singh,4,18,150,12,4.5,2
Harpreet Singh,3,20,76.9231,26,6.66667,2
HH Gibbs,36,886,105.854,837,24.6111,29
HH Pandya,17,156,116.418,134,9.17647,12
HM Amla,6,157,128.689,122,26.1667,5
HV Patel,12,47,123.684,38,3.91667,7
I Malhotra,1,7,175,4,7,0
I Sharma,14,37,80.4348,46,2.64286,3
IC Pandey,1,0,0,2,0,1
IK Pathan,81,1137,116.258,978,14.037,43
Imran Tahir,5,18,78.2609,23,3.6,3
Iqbal Abdulla,13,87,107.407,81,6.69231,1
IR Jaggi,5,43,71.6667,60,8.6,4
Ishan Kishan,5,42,102.439,41,8.4,2
J Arunkumar,3,23,95.8333,24,7.66667,2
J Botha,28,409,112.363,364,14.6071,18
J Suchith,5,48,145.455,33,9.6,1
J Syed Mohammad,5,29,107.407,27,5.8,2
J Theron,4,10,76.9231,13,2.5,1
J Yadav,2,6,50,12,3,0
JA Morkel,67,974,136.99,711,14.5373,36
Jaskaran Singh,4,8,72.7273,11,2,1
JC Buttler,14,255,134.921,189,18.2143,11
