A Ashish Reddy,20,270,18,386,21.4444
A Chandila,12,234,11,242,22
A Flintoff,3,66,2,105,52.5
A Kumble,42,983,45,1027,22.8222
A Mishra,112,2466,124,2852,23
A Mithun,16,312,7,448,64
A Nehra,82,1842,98,2230,22.7551
A Nel,1,18,1,31,31
A Singh,23,486,28,603,21.5357
A Symonds,30,540,20,656,32.8
A Uniyal,2,38,2,64,32
A Zampa,5,103,12,110,9.16667
AA Chavan,13,255,8,318,39.75
AA Jhunjhunwala,10,88,1,126,126
AA Kazi,1,13,0,20,20
AA Noffke,1,25,1,35,35
AB Agarkar,42,820,29,1112,38.3448
AB Dinda,72,1524,68,1873,27.5441
AB McDonald,10,188,11,259,23.5455
Abdur Razzak,1,14,0,23,23
AC Gilchrist,1,1,1,0,0
AC Thomas,15,327,14,394,28.1429
AC Voges,7,56,0,74,74
AD Mascarenhas,13,310,19,353,18.5789
AD Mathews,42,776,27,999,37
AD Russell,34,651,31,870,28.0645
AF Milne,1,25,1,38,38
AG Murtaza,12,269,9,304,33.7778
AJ Finch,5,44,1,66,66
AL Menaria,12,113,3,140,46.6667
AM Nayar,19,239,9,311,34.5556
AM Rahane,1,6,1,5,5
AM Salvi,7,156,7,190,27.1429
AN Ahmed,17,362,12,467,38.9167
Anand Rajan,8,162,8,188,23.5
Ankit Sharma,19,363,12,409,34.0833
Anureet Singh,18,394,17,533,31.3529
AP Dole,3,73,5,105,21
AR Patel,45,986,43,1157,26.907
AS Rajpoot,6,97,4,122,30.5
AS Raut,5,30,0,44,44
AUK Pathan,3,41,0,57,57
Azhar Mahmood,23,552,29,681,23.4828
B Akhil,13,193,6,235,39.1667
B Brainder Sran,1,20,0,29,29
B Chipli,1,6,0,20,20
B Geeves,2,49,1,90,90
B Kumar,77,1755,85,1910,22.4706
B Laughlin,2,45,1,68,68
B Lee,38,916,25,1042,41.68
BA Bhatt,15,303,12,389,32.4167
BAW Mendis,10,244,8,277,34.625
BB Sran,15,332,15,437,29.1333
BCJ Cutting,6,117,8,144,18
BE Hendricks,7,157,9,224,24.8889
Bipul Sharma,22,348,15,447,29.8
BJ Hodge,20,238,17,294,17.2941
BJ Rohrer,1,7,0,11,11
BMAJ Mendis,2,30,1,36,36
BW Hilfenhaus,17,390,22,461,20.9545
C Ganapathy,1,6,0,13,13
C Munro,2,12,0,15,15
C Nanda,3,50,2,55,27.5
CH Gayle,38,599,18,696,38.6667
CH Morris,39,846,41,980,23.9024
CJ Anderson,11,138,5,210,42
CJ Jordan,10,207,14,280,20
CJ McKay,2,42,1,60,60
CK Kapugedera,3,17,0,49,49
CK Langeveldt,7,165,13,178,13.6923
CL White,6,46,1,81,81
CR Brathwaite,8,143,7,181,25.8571
CRD Fernando,10,249,17,279,16.4118
D du Preez,2,43,4,55,13.75
D Kalyankrishna,3,50,2,85,42.5
D Salunkhe,5,51,1,70,70
D Wiese,14,289,16,390,24.375
DAJ Bracewell,1,25,3,31,10.3333
DB Ravi Teja,2,18,1,28,28
DE Bollinger,27,600,38,663,17.4474
DJ Bravo,103,2110,122,2658,21.7869
DJ Harris,2,18,0,26,26
DJ Hooda,13,177,4,216,54
DJ Hussey,26,323,8,467,58.375
DJ Muthuswami,6,84,4,101,25.25
DJ Thornely,4,44,3,38,12.6667
DJG Sammy,19,244,11,341,31
DL Chahar,2,33,0,38,38
DL Vettori,34,785,28,870,31.0714
